#time Nodes links maxInDeg maxOutDeg CC SingIn SingOut DoubIn DoubOut InDegSq OutDegSq InAssort OutAssort
7301 7297 43760 36 36 0.002053361099714228 0 0 0 0 53.44251062080307 53.44251062080307 0.0424453417209668 0.0424453417209668
7401 7397 44360 36 36 0.001986360264089375 0 0 0 0 53.580100040556985 53.580100040556985 0.04039790451186281 0.04039790451186281
7501 7497 44960 36 36 0.0019537028248488406 0 0 0 0 53.726824062958514 53.726824062958514 0.03803188481155709 0.03803188481155709
7601 7597 45560 36 36 0.001923419637803629 0 0 0 0 53.919705146768464 53.919705146768464 0.034097940839086884 0.034097940839086884
7701 7697 46160 36 36 0.001927906630660235 0 0 0 0 54.064960374171754 54.064960374171754 0.03227131325831148 0.03227131325831148
7801 7797 46760 37 37 0.0019619757502470398 0 0 0 0 54.18802103373092 54.18802103373092 0.030853277292206188 0.030853277292206188
7901 7897 47360 37 37 0.00191829507927826 0 0 0 0 54.35355198176523 54.35355198176523 0.02816076017194738 0.02816076017194738
8001 7997 47960 38 38 0.0018822553844340102 0 0 0 0 54.510941603101166 54.510941603101166 0.025947325213962567 0.025947325213962567
8101 8097 48560 38 38 0.001853919992975152 0 0 0 0 54.6170186488823 54.6170186488823 0.02472310329211302 0.02472310329211302
8201 8197 49160 38 38 0.0019449779086014335 0 0 0 0 54.749542515554474 54.749542515554474 0.023152666336394016 0.023152666336394016
8301 8297 49760 38 38 0.0019871035744802815 0 0 0 0 54.889960226587924 54.889960226587924 0.021382491134360682 0.021382491134360682
8401 8397 50360 38 38 0.0019571407045173212 0 0 0 0 55.03679885673455 55.03679885673455 0.018435047342552472 0.018435047342552472
8501 8497 50960 38 38 0.0019087008147544737 0 0 0 0 55.178768977286104 55.178768977286104 0.01592812472001075 0.01592812472001075
8601 8597 51560 38 38 0.0018754456586527295 0 0 0 0 55.357217634058394 55.357217634058394 0.013859064963885934 0.013859064963885934
8701 8697 52160 38 38 0.0018438705127606424 0 0 0 0 55.5048867425549 55.5048867425549 0.011783772613635446 0.011783772613635446
8801 8797 52760 38 38 0.001875226314857921 0 0 0 0 55.62760031829033 55.62760031829033 0.009491382924487396 0.009491382924487396
8901 8897 53360 38 38 0.0018729145078296289 0 0 0 0 55.69967404743172 55.69967404743172 0.009524450540556164 0.009524450540556164
9001 8997 53960 38 38 0.001825143758062161 0 0 0 0 55.837501389352006 55.837501389352006 0.008101710735332664 0.008101710735332664
9101 9000 53984 38 38 0.0018244114433522071 0 0 0 0 55.85911111111111 55.85911111111111 0.007868255055080034 0.007868255055080034
9101 9000 53984 38 38 0.0018244114433522071 0 0 0 0 55.85911111111111 55.85911111111111 0.007868255055080034 0.007868255055080034
