#time Nodes links maxInDeg maxOutDeg CC SingIn SingOut DoubIn DoubOut InDegSq OutDegSq InAssort OutAssort
4801 4797 28760 204 204 0.006365733879970936 0 0 0 0 87.38836772983115 87.38836772983115 -0.012886792007701984 -0.012886792007701984
4901 4897 29360 206 206 0.006252541406558059 0 0 0 0 87.37716969573208 87.37716969573208 -0.01241127436694934 -0.01241127436694934
5001 4997 29960 207 207 0.0059738168774836065 0 0 0 0 86.99619771863118 86.99619771863118 -0.010779170603053128 -0.010779170603053128
5101 5097 30560 209 209 0.0057728594164848 0 0 0 0 86.66980576809888 86.66980576809888 -0.009335095301275255 -0.009335095301275255
5201 5197 31160 211 211 0.005496609596060866 0 0 0 0 86.54454492976717 86.54454492976717 -0.008498010855191925 -0.008498010855191925
5301 5297 31760 211 211 0.00532074188263779 0 0 0 0 86.22465546535776 86.22465546535776 -0.007142995963421873 -0.007142995963421873
5401 5397 32360 211 211 0.00508738428571276 0 0 0 0 85.82694089308875 85.82694089308875 -0.00564229359884951 -0.00564229359884951
5501 5497 32960 213 213 0.0049212365975413105 0 0 0 0 85.72748772057486 85.72748772057486 -0.0049121158253094465 -0.0049121158253094465
5601 5597 33560 213 213 0.0048874625388431415 0 0 0 0 85.41325710201893 85.41325710201893 -0.0036204830110084635 -0.0036204830110084635
5701 5697 34160 215 215 0.00469151346265715 0 0 0 0 85.30033350886431 85.30033350886431 -0.0029184543044589164 -0.0029184543044589164
5801 5797 34760 216 216 0.00454709837190604 0 0 0 0 85.01638778678627 85.01638778678627 -0.001715455705637974 -0.001715455705637974
5901 5897 35360 216 216 0.00445848830257674 0 0 0 0 84.74682041716127 84.74682041716127 -6.3300675515725E-4 -6.3300675515725E-4
6001 5997 35960 218 218 0.0043346042001193505 0 0 0 0 84.47623811905953 84.47623811905953 3.6642012667839136E-4 3.6642012667839136E-4
6101 6097 36560 218 218 0.004162073159382794 0 0 0 0 83.87567656224373 83.87567656224373 0.0023940874523057146 0.0023940874523057146
6201 6197 37160 218 218 0.0041426713719629514 0 0 0 0 83.28191060190414 83.28191060190414 0.00418960401867942 0.00418960401867942
6301 6297 37760 220 220 0.003979366530270202 0 0 0 0 82.77783071303796 82.77783071303796 0.005913734539315743 0.005913734539315743
6401 6397 38360 220 220 0.0038372282840240554 0 0 0 0 82.20415819915586 82.20415819915586 0.007764745153015397 0.007764745153015397
6501 6497 38960 220 220 0.003724663033564696 0 0 0 0 81.66446052024011 81.66446052024011 0.009555690897877977 0.009555690897877977
6601 6597 39560 220 220 0.003602508972668967 0 0 0 0 81.10959527057753 81.10959527057753 0.011351114057825793 0.011351114057825793
6701 6697 40160 220 220 0.0035023264801803664 0 0 0 0 80.66656711960579 80.66656711960579 0.012856223357803339 0.012856223357803339
6801 6797 40760 220 220 0.0034026571258885135 0 0 0 0 80.23069001029866 80.23069001029866 0.014483298818489983 0.014483298818489983
6901 6897 41360 220 220 0.00334188775585318 0 0 0 0 79.75148615340002 79.75148615340002 0.01611838285767759 0.01611838285767759
7001 6997 41960 220 220 0.003263669779414578 0 0 0 0 79.33085608117764 79.33085608117764 0.017535804000083213 0.017535804000083213
7101 7097 42560 220 220 0.0031953620390354005 0 0 0 0 78.8651542905453 78.8651542905453 0.019329417425513556 0.019329417425513556
7201 7197 43160 220 220 0.0031219103533708147 0 0 0 0 78.43212449631791 78.43212449631791 0.020922932879361297 0.020922932879361297
7301 7297 43760 220 220 0.003034298269331611 0 0 0 0 78.03261614362067 78.03261614362067 0.02243703970503234 0.02243703970503234
7401 7397 44360 220 220 0.002966918930341447 0 0 0 0 77.6120048668379 77.6120048668379 0.023851893571381705 0.023851893571381705
7501 7497 44960 220 220 0.0028973975302491223 0 0 0 0 77.19567827130852 77.19567827130852 0.025347417539573616 0.025347417539573616
7601 7597 45560 220 220 0.002838873702384521 0 0 0 0 76.7937343688298 76.7937343688298 0.02682917954262155 0.02682917954262155
7701 7697 46160 220 220 0.0028420763683625672 0 0 0 0 76.42925815252696 76.42925815252696 0.02819878143586355 0.02819878143586355
7801 7797 46760 220 220 0.002772642408891462 0 0 0 0 76.07541362062332 76.07541362062332 0.029482681331856758 0.029482681331856758
7901 7897 47360 220 220 0.0027200984475307124 0 0 0 0 75.70368494364949 75.70368494364949 0.03076190141746116 0.03076190141746116
8001 7997 47960 220 220 0.0026478563024343684 0 0 0 0 75.3289983743904 75.3289983743904 0.032133119910040975 0.032133119910040975
8101 8097 48560 220 220 0.002582168358592505 0 0 0 0 74.98308015314313 74.98308015314313 0.033466555897514884 0.033466555897514884
8201 8197 49160 220 220 0.002536697610074957 0 0 0 0 74.62657069659632 74.62657069659632 0.03476099551221949 0.03476099551221949
8301 8297 49760 220 220 0.002446672369817243 0 0 0 0 74.32590092804628 74.32590092804628 0.035867068875831645 0.035867068875831645
8401 8397 50360 220 220 0.0023832755379868593 0 0 0 0 74.00500178635227 74.00500178635227 0.03705274223139529 0.03705274223139529
8501 8497 50960 220 220 0.0023138043767618878 0 0 0 0 73.67988701894787 73.67988701894787 0.03822797054385672 0.03822797054385672
8601 8597 51560 220 220 0.0022784299707477276 0 0 0 0 73.35675235547284 73.35675235547284 0.039362095368424777 0.039362095368424777
8701 8697 52160 220 220 0.002239277775453567 0 0 0 0 73.07324364723468 73.07324364723468 0.04040949826086918 0.04040949826086918
8801 8797 52760 220 220 0.0022539445070476876 0 0 0 0 72.78640445606457 72.78640445606457 0.04143030588306088 0.04143030588306088
8901 8897 53360 220 220 0.0022024058630711837 0 0 0 0 72.49364954479037 72.49364954479037 0.04252045204737029 0.04252045204737029
9001 8997 53960 220 220 0.002150397431641035 0 0 0 0 72.19717683672336 72.19717683672336 0.04374956328910345 0.04374956328910345
9101 9000 53984 220 220 0.0021496806324971546 0 0 0 0 72.19377777777778 72.19377777777778 0.04378213519347445 0.04378213519347445
9101 9000 53984 220 220 0.0021496806324971546 0 0 0 0 72.19377777777778 72.19377777777778 0.04378213519347445 0.04378213519347445
